dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.183852,1.229685,2.233514,2.436400,1.186225,-41.725630,0.545881
0.020000,3.227929,1.257135,2.285440,2.596305,7.995278,340.452659,0.565424
0.020000,3.273428,1.286571,2.339630,2.709514,5.660417,-116.743078,0.583185
0.020000,3.317613,1.316299,2.392885,2.662751,-2.338157,-399.928701,0.601422
0.020000,3.360477,1.346303,2.445206,2.616074,-2.333825,0.216634,0.620128
0.020000,3.402012,1.376565,2.496597,2.569515,-2.327949,0.293807,0.639296
0.020000,3.442214,1.407065,2.547059,2.523115,-2.319985,0.398158,0.658913
0.020000,3.481078,1.437784,2.596598,2.476929,-2.309327,0.532894,0.678967
0.020000,3.518603,1.468700,2.645217,2.430990,-2.296959,0.618423,0.699439
0.020000,3.554788,1.499790,2.692925,2.385358,-2.281573,0.769320,0.720308
0.020000,3.589636,1.531031,2.739726,2.340080,-2.263906,0.883330,0.741550
0.020000,3.623152,1.562397,2.785630,2.295212,-2.243403,1.025133,0.763136
0.020000,3.655343,1.593865,2.830646,2.250801,-2.220565,1.141915,0.785036
0.020000,3.686219,1.625406,2.874784,2.206892,-2.195455,1.255522,0.807215
0.020000,3.715791,1.656995,2.918055,2.163536,-2.167802,1.382645,0.829633
0.020000,3.744073,1.688604,2.960470,2.120773,-2.138146,1.482765,0.852252
0.020000,3.771084,1.720207,3.002043,2.078642,-2.106542,1.580199,0.875026
0.020000,3.796841,1.751776,3.042787,2.037171,-2.073563,1.648955,0.897911
0.020000,3.821367,1.783283,3.082714,1.996389,-2.039063,1.725021,0.920859
0.020000,3.844686,1.814701,3.121841,1.956308,-2.004067,1.749796,0.943821
0.020000,3.866823,1.846003,3.160179,1.916939,-1.968445,1.781105,0.966749
0.020000,3.887806,1.877162,3.197745,1.878284,-1.932767,1.783908,0.989593
0.020000,3.907664,1.908152,3.234552,1.840331,-1.897631,1.756810,1.012305
0.020000,3.926428,1.938947,3.270613,1.803067,-1.863204,1.721335,1.034837
0.020000,3.944130,1.969522,3.305942,1.766467,-1.829993,1.660526,1.057144
0.020000,3.960804,1.999851,3.340552,1.730500,-1.798338,1.582791,1.079182
0.020000,3.976482,2.029910,3.374455,1.695130,-1.768513,1.491216,1.100910
0.020000,3.991200,2.059677,3.407661,1.660315,-1.740768,1.387236,1.122289
0.020000,4.004993,2.089127,3.440181,1.626009,-1.715305,1.273168,1.143285
0.020000,4.017897,2.118238,3.472025,1.592160,-1.692452,1.142666,1.163865
0.020000,4.029946,2.146990,3.503199,1.558722,-1.671873,1.028962,1.184002
0.020000,4.041178,2.175361,3.533712,1.525641,-1.654068,0.890237,1.203671
0.020000,4.051627,2.203330,3.563569,1.492866,-1.638739,0.766461,1.222851
0.020000,4.061328,2.230878,3.592776,1.460346,-1.626008,0.636534,1.241524
0.020000,4.070318,2.257988,3.621337,1.428036,-1.615501,0.525325,1.259676
0.020000,4.078629,2.284639,3.649255,1.395886,-1.607485,0.400801,1.277295
0.020000,4.086297,2.310817,3.676532,1.363858,-1.601409,0.303802,1.294374
0.020000,4.093355,2.336503,3.703170,1.331905,-1.597633,0.188833,1.310907
0.020000,4.099835,2.361682,3.729170,1.299997,-1.595427,0.110292,1.326891
0.020000,4.105769,2.386340,3.754532,1.268101,-1.594810,0.030821,1.342325
0.020000,4.111189,2.410463,3.779256,1.236187,-1.595689,-0.043904,1.357210
0.020000,4.116125,2.434036,3.803340,1.204225,-1.598115,-0.121333,1.371550
0.020000,4.120606,2.457048,3.826784,1.172200,-1.601207,-0.154616,1.385350
0.020000,4.124661,2.479486,3.849586,1.140095,-1.605293,-0.204295,1.398614
0.020000,4.128318,2.501340,3.871744,1.107878,-1.610812,-0.275944,1.411350
0.020000,4.131604,2.522598,3.893255,1.075552,-1.616307,-0.274736,1.423565
0.020000,4.134543,2.543252,3.914117,1.043107,-1.622255,-0.297382,1.435269
0.020000,4.137161,2.563293,3.934327,1.010526,-1.629040,-0.339257,1.446470
0.020000,4.139482,2.582710,3.953883,0.977802,-1.636221,-0.359054,1.457178
0.020000,4.141529,2.601498,3.972782,0.944948,-1.642698,-0.323847,1.467403
0.020000,4.143322,2.619649,3.991021,0.911940,-1.650418,-0.385984,1.477154
0.020000,4.144884,2.637155,4.008597,0.878798,-1.657077,-0.332995,1.486442
0.020000,4.146235,2.654011,4.025507,0.845496,-1.665089,-0.400574,1.495277
0.020000,4.147392,2.670211,4.041748,0.812058,-1.671915,-0.341330,1.503667
0.020000,4.148374,2.685749,4.057318,0.778484,-1.678692,-0.338816,1.511624
0.020000,4.149199,2.700622,4.072213,0.744767,-1.685830,-0.356909,1.519157
0.020000,4.149882,2.714824,4.086431,0.710916,-1.692574,-0.337206,1.526274
0.020000,4.150440,2.728351,4.099970,0.676945,-1.698531,-0.297837,1.532985
0.020000,4.150885,2.741200,4.112827,0.642840,-1.705257,-0.336291,1.539298
0.020000,4.151232,2.753368,4.124999,0.608612,-1.711397,-0.307037,1.545221
0.020000,4.151494,2.764850,4.136485,0.574290,-1.716096,-0.234951,1.550763
0.020000,4.151682,2.775646,4.147282,0.539846,-1.722238,-0.307085,1.555930
0.020000,4.151808,2.785751,4.157388,0.505305,-1.727047,-0.240465,1.560729
0.020000,4.151882,2.795164,4.166802,0.470672,-1.731632,-0.229233,1.565168
0.020000,4.151913,2.803883,4.175521,0.435949,-1.736171,-0.226950,1.569251
0.020000,4.151911,2.811906,4.183544,0.401148,-1.740046,-0.193760,1.572986
0.020000,4.151882,2.819231,4.190869,0.366262,-1.744283,-0.211849,1.576376
0.020000,4.151835,2.825857,4.197495,0.331317,-1.747229,-0.147299,1.579426
0.020000,4.151776,2.831783,4.203421,0.296313,-1.750215,-0.149290,1.582142
0.020000,4.151711,2.837008,4.208646,0.261237,-1.753798,-0.179150,1.584526
0.020000,4.151644,2.841530,4.213169,0.226129,-1.755416,-0.080878,1.586582
0.020000,4.151580,2.845349,4.216988,0.190978,-1.757562,-0.107324,1.588313
0.020000,4.151524,2.848464,4.220104,0.155777,-1.760013,-0.122555,1.589721
0.020000,4.151477,2.850875,4.222515,0.120562,-1.760767,-0.037693,1.590809
0.020000,4.151442,2.852581,4.224221,0.085320,-1.762115,-0.067376,1.591577
0.020000,4.151421,2.853582,4.225223,0.050063,-1.762836,-0.036075,1.592027
0.020000,4.151412,2.853980,4.225621,0.019917,-1.507283,12.777634,1.592207
0.020000,4.151411,2.854054,4.225695,0.003700,-0.810890,34.819650,1.592240
0.020000,4.151411,2.854054,4.225695,0.000000,-0.184975,31.295754,1.592240
